,Rating,Name,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
0,AA,Company 44,Rating agency 5,8/16/2005,Energy,0.885237125,0.550895603,0.14346857,36.8175195,0.094024081,0.188131342,1.009959139,0.190213112,0.143913354,0.1846892414,0.160120912,1.541118673,3.390180691,1.912761043,0.6313354682,0.0,0.547603248,0.04919789099999985,10.4331757,1.088335687,0.190116552,1.274560211,3.0937359244,0.153534039,0.0
1,BB,Company 135,Rating agency 3,4/28/2009,Basic Industries,2.052827911,0.511835041,0.26038495,0.0,0.094189455,0.13276184,0.121489602,0.137468843,0.130517717,0.223958635,0.1408792866,1.388711526,3.344360555,2.253042523,0.686884916,0.284568811,0.998441565,6.286350177,12.01626103,3.298016065,0.133657299,0.959816986,6.333348846,0.032842542,13.69678966
2,CCC,Company 118,Rating agency 3,8/3/2010,Health Care,1.340031649,1.090468285,0.235971229,45.13722927,0.121168977,0.017073824,1.0044734,0.069100955,0.131112216,0.023242041,0.045285278400000004,1.093697756,2.137543442,3.829918205,0.795181028,0.3093161164,1.001744147,0.965079773,3.277277402,4.811878556,0.017046022,15.62536357,0.973798896,0.051749423,0.0
4,BBB,Company 309,Rating agency 3,8/31/2010,Energy,1.393784174,0.439913549,0.027211181,21.43561587,0.199471394,0.201419663,0.990007562,0.202474787,0.08360873,0.090809243,0.211588925,0.418873954,0.487557421,1.518486564,0.606278453,0.004394823,-0.524238712,-2.024696925,4.7791358694,2.550233412,0.200256196,11.76062347,3.911740071,0.274350216,0.0
5,BBB,Company 56,Rating agency 3,9/30/2010,Miscellaneous,1.187288451,0.514919682,0.190278118,53.10290003,0.054139747,0.097922254,0.508210955,0.099159112,0.034475497,0.089894908,0.2366125114,0.639344469,12.74171997,1.3841586124000003,1.016996475,0.386875807,0.881114782,4.040228134,2.519301432,2.4030302752,0.099138203,10.45917465,4.61506864,0.176764585,0.077433965
6,BB,Company 96,Rating agency 3,11/3/2010,Technology,1.301075446,0.597312999,0.206298453,38.02280052,0.012812583,0.018366742,0.074278329,0.024210814,0.026665018,0.088756532,0.108421321,2.117047844,9.152856788,2.998592502,0.754615935,0.309391307,0.067505243,0.134037929,7.2326097162,4.060735277,0.018411207,4.357798754,1.983754864,0.031669555,4.518718987
7,BB,Company 437,Rating agency 3,11/19/2010,Basic Industries,2.0548523552,1.2507041938,0.6445491146,38.6260668804,0.07650972079999999,0.021426184799999998,1.666514321,0.1341065486,0.047713401,0.050062154000000005,0.079495839,0.406378791,4.633125065,0.0,0.6822272825999999,0.12206627839999999,1.270039405,-0.236367105,6.424199427,0.383804025,0.021290692000000003,7.535758472,-0.183911596,-0.043853674,6.6260545236
9,B,Company 586,Rating agency 3,12/17/2010,Consumer Services,0.890879093,0.86921441,0.05329359,56.758989076,0.0753973554,0.0604745724,0.645544068,0.056085972000000005,0.063668325,0.112893489,0.148562166,0.232947839,0.489276023,1.119658108,0.476537193,0.25877469,0.578013158,0.380378111,2.7469029552,2.345653101,0.06564045700000001,12.33242737,0.651120388,0.287063889,0.699499401
11,BBB,Company 126,Rating agency 3,12/20/2010,Basic Industries,3.738410485,2.559168861,1.218740571,56.77958682,0.001678341,0.003361643,0.121088426,0.009168049,0.00125969,0.002915461,0.003501602,0.761974996,1.943566769,1.770861634,0.635726801,0.501327437,0.622891487,1.655707771,8.547110954,2.748558268,0.003371926,21.43925924,2.667638669,0.095164009,8.134319093
13,BBB,Company 198,Rating agency 3,12/22/2010,Health Care,2.405952508,1.718992539,0.728198538,46.64098283,0.189224408,0.259789812,0.910423882,0.266543711,0.110287349,0.17478304,0.164974644,0.585782903,2.86155994,0.493642326,0.32954378,0.270307456,0.891588174,0.4688069134000001,3.8785386232,1.487986784,0.259662246,0.027368544,1.7746233994,0.346351731,2.450978983
